DISCIPLINE,PO WORK TYPE,PO NO,PO SUBJECT,PO DATE,PO REVISION,PO VEND NAME,ITEM COUNT,PO CDD,PO DESTINATION,BUYER,EXPEDITOR,PDF FLAG,REMARKS
ELECTRICAL,Main Work,P-BIFP-EL05-051,33kV Ring Main Unit for RDS,27-SEP-18,A,Electro Mechanical Co. L.L.C. ,21,15-May-2019,BIFP Project Site,Fritz,Admin,N,
ELECTRICAL,Main Work,P-BIFP-EL06-052,Modification and Extension of Existing 33kV GIS Switchgear  SCMS and FMS,28-NOV-18,A,Electro Mechanical Co. L.L.C. ,15,31-May-2019,BIFP Project Site,Fritz,Rajesh,N,
ELECTRICAL,,P-BIFP-EL08-128,3.3 KV Capacitor Bank Skid for WIC (CBS),30-JUL-18,A,ABB Automation LLC,135,15-Jul-2020,,,Kashif,N,
ELECTRICAL,Main Work,P-BIFP-EL09-055,3.3KV Switchgears,12-SEP-18,A,Schneider Electric (Hong Kong) Limited,16,11-Apr-2019,Abu Dhabi Sea Port,Fritz,Rajesh,N,
ELECTRICAL,Main Work,P-BIFP-EL10-129,415V Switchgear Modification in PSN,25-SEP-18,A,Electro Mechanical Co. L.L.C. ,7,01-Mar-2019,BIFP Project Site,Fritz,Rajesh,N,
ELECTRICAL,Main Work,P-BIFP-EL11-057,415V LV Switchgear,28-NOV-18,A,Electro Mechanical Co. L.L.C. ,16,15-Jun-2019,BIFP Project Site,Fritz,Admin,N,
ELECTRICAL,Main Work,P-BIFP-EL12-130,415V Switchgear Modification in SN,27-SEP-18,A,Binghalib Engineering,10,01-Mar-2019,BIFP Project Site,Fritz,Admin,N,
ELECTRICAL,Main Work,P-BIFP-EL13-059,BUS DUCT,07-AUG-18,A,ETA-COM B NV,15,30-Apr-2019,Antwerp  Belgium ,Vivin Menon,Rana Abhishek,N,
ELECTRICAL,,P-BIFP-EL15-061,Substation Control And Monitoring System (SCMS),30-JUL-18,A,ABB Automation LLC,42,15-Jul-2020,,,Kashif,N,
ELECTRICAL,,P-BIFP-EL16-062,Fault Monitoring System (FMS),30-JUL-18,A,ABB Automation LLC,3,15-Jul-2020,,,Kashif,N,
ELECTRICAL,,P-BIFP-EL17-063,Online Condition Monitoring For Transformers (OLCMS),30-JUL-18,A,ABB Automation LLC,4,15-Jul-2020,,,Kashif,N,
ELECTRICAL,,P-BIFP-EL18-064,Power Supply Skids (PSS),30-JUL-18,A,ABB Automation LLC,444,15-Jul-2020,,,Kashif,N,
ELECTRICAL,Main Work,P-BIFP-EL19-65A,MV cables,20-SEP-18,A,DUBAI CABLE COMPANY (PRIVATE) LIMITED ,875,15-Jan-2019,BIFP Project Site,Nan,vinod,N,
ELECTRICAL,Main Work,P-BIFP-EL19-65B,LV cables,24-SEP-18,0,DUBAI CABLE COMPANY (PRIVATE) LIMITED ,4115,31-Mar-2019,BIF Project Site,Nan,Admin,N,
ELECTRICAL,Main Work,P-BIFP-EL20-132,415V Switchgear Modification for Substation-C,20-SEP-18,A,ABB Industries L.L.C.,12,30-Mar-2019,BIFP Project Site,Fritz,Admin,N,
ELECTRICAL,Main Work,P-BIFP-EL21-074,415V Switchgear Modification for Wash Water Supply Pumps,31-OCT-18,A,Electro Mechanical Co. L.L.C. ,1,15-Apr-2019,BIFP Project Site,Fritz,Admin,N,
ELECTRICAL,Main Work,P-BIFP-EL22-073,BUFFER TRANSFORMERS,12-DEC-18,A,BRUSH TRANSFORMERS,39,15-May-2019,Loughborough UK,Vivin Menon,Rana Abhishek,N,
ELECTRICAL,Main Work,P-BIFP-EL24-71,AC UPS,27-SEP-18,A,CEG ELETTRONICA INDUSTRIALE,54,31-Mar-2019,La Spezia Seaport,Vivin Menon,Bhavin,N,
ELECTRICAL,Main Work,P-BIFP-EL25-70,DC UPS,27-SEP-18,A,CEG ELETTRONICA INDUSTRIALE,36,31-Mar-2019,La Spezia Seaport,Vivin Menon,Bhavin,N,
ELECTRICAL,Main Work,P-BIFP-EL26-069,LV Distribution Board (Safe Area),21-MAR-19,0,ABB Industries L.L.C.,100,01-Aug-2019,,,Admin,N,
ELECTRICAL,Main Work,P-BIFP-EL27-068,LV DISRUBTION BOARD - CLASSIFED AREA,31-MAR-19,A,Warom Technology Incorporated Company,151,01-Aug-2019,Abu Dhabi Sea Port,Pavin,Admin,N,
ELECTRICAL,Main Work,P-BIFP-EL28-067,LV DISTRIBUTION BOARD MODIFICATION,25-JUN-19,0,Electro Mechanical Co. L.L.C. ,11,10-Oct-2019,,,Rajesh,N,
ELECTRICAL,Main Work,P-BIFP-EL29-066,DISTRIBUTION TRANSFORMER,30-JAN-19,A,FEDERAL POWER TRANSFORMERS LLC,18,01-Jun-2019,,Fritz,Rana Abhishek,N,
ELECTRICAL,Main Work,P-BIFP-EL30-058,POWER TRANSFORMERS,09-SEP-18,A,FEDERAL POWER TRANSFORMERS,15,25-Mar-2019,Federal Transformer works ABU DHABI  UAE,Vivin,Rana Abhishek,N,
ELECTRICAL,Main Work,P-BIFP-EL31-56-01,415V Switchgear Modification for RDS-06  07  08  09 & 10,10-OCT-18,A,ABB Industries L.L.C.,14,30-Mar-2019,BIFP Project Site,Fritz,Rajesh,N,
ELECTRICAL,,P-BIFP-EL31-56-02,415V Switchgear Modification for RDS-01  02  03 & 04,20-JAN-19,A,Schneider Electric Industries S.A.,7,20-May-2019,BIFP CPECC Site Warehouse,,Rajesh,N,
ELECTRICAL,Main Work,P-BIFP-EL32-54-01,3.3kV Switchgear Modification in WIC- 01  03  07  08  12 & 13,28-OCT-18,A,Baldwin & Francis Limited,9,15-Apr-2019,AUH Sea Port,Fritz,Rajesh,N,
ELECTRICAL,Main Work,P-BIFP-EL32-54-02,3.3kV Switchgear Modification in WIC-22  23  30  31 & 32,31-OCT-18,A,Electro Mechanical Co. L.L.C. ,5,15-Mar-2019,BIFP Project Site,Fritz,Admin,N,
ELECTRICAL,Main Work,P-BIFP-EL34-46-01,415V Switchgear Modification in WIC- 01  03  07  08  12 & 13,28-OCT-18,A,Baldwin & Francis Limited,12,15-Apr-2019,AUH Sea Port,Fritz,Rajesh,N,
ELECTRICAL,,P-BIFP-EL34-46-02,415V Switchgear Modification in WIC-22  23  30  31 & 32,31-OCT-18,A,Electro Mechanical Co. L.L.C. ,5,15-Mar-2019,BIFP Project Site,Fritz,Admin,N,
ELECTRICAL,Main Work,P-BIFP-EL35-148,CABLE TRAY,28-MAR-19,0,Customer Delight Trading,159,29-Aug-2019,Bab Site,,Abdul Salam,N,
